PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
WI0000027,,,2023,"Dry, Condensed, Evaporated Products"
WI0000035,,,2026,Fluid Milk
WI0000108,,,3625,Relays And Industrial Controls
WI0000132,,,2023,"Dry, Condensed, Evaporated Products"
WI0000159,,,2022,"Cheese, Natural And Processed"
WI0000272,,,3325,Steel Foundries
WI0000345,,,2033,Canned Fruits And Vegetables
WI0000485,,,2033,Canned Fruits And Vegetables
WI0000493,,,3322,Malleable Iron Foundries
WI0000507,,,3321,Gray And Ductile Iron Foundries
WI0000531,,,2611,Pulp Mills
WI0000540,,,2621,Paper Mills
WI0000680,,,2621,Paper Mills
WI0000698,,,2679,Converted Paper Products
WI0000728,,,3462,Iron And Steel Forgings
WI0000744,,,2082,Malt Beverages
WI0000752,,,2621,Paper Mills
WI0000761,,,3321,Gray And Ductile Iron Foundries
WI0000795,,,3621,Motors And Generators
WI0000817,,,2033,Canned Fruits And Vegetables
WI0000825,,,2611,Pulp Mills
WI0000914,,,4911,Electric Services
WI0000922,,,4911,Electric Services
WI0000931,,,4911,Electric Services
WI0000957,,,4911,Electric Services
WI0000965,,,4911,Electric Services
WI0000973,,,2611,Pulp Mills
WI0000990,,,2611,Pulp Mills
WI0001031,,,2621,Paper Mills
WI0001040,,,3471,Plating And Polishing
WI0001163,,,2033,Canned Fruits And Vegetables
WI0001236,,,2023,"Dry, Condensed, Evaporated Products"
WI0001261,,,2621,Paper Mills
WI0001309,,,3471,Plating And Polishing
WI0001341,,,2621,Paper Mills
WI0001449,,,2022,"Cheese, Natural And Processed"
WI0001571,,,4911,Electric Services
WI0001589,,,4911,Electric Services
WI0001635,,,4939,Combination Utilities
WI0001732,,,2021,Creamery Butter
WI0001759,,,2013,Sausages And Other Prepared Meats
WI0001848,,,2621,Paper Mills
WI0001945,,,3711,Motor Vehicles And Car Bodies
WI0001961,,,4911,Electric Services
WI0001996,,,3471,Plating And Polishing
WI0002003,,,2023,"Dry, Condensed, Evaporated Products"
WI0002020,,,4911,Electric Services
WI0002038,,,2869,Industrial Organic Chemicals
WI0002089,,,3519,Internal Combustion Engines
WI0002135,,,2026,Fluid Milk
WI0002160,,,2033,Canned Fruits And Vegetables
WI0002267,,,2033,Canned Fruits And Vegetables
WI0002381,,,4911,Electric Services
WI0002402,,,4911,Electric Services
WI0002488,,,0273,Animal Aquaculture
WI0002518,,,2047,Dog And Cat Food
WI0002534,,,2099,Food Preparations
WI0002585,,,0921,Fish Hatcheries And Preserves
WI0002658,,,2033,Canned Fruits And Vegetables
WI0002666,,,2033,Canned Fruits And Vegetables
WI0002739,,,4939,Combination Utilities
WI0002780,,,4911,Electric Services
WI0002810,,,2611,Pulp Mills
WI0002836,,,2033,Canned Fruits And Vegetables
WI0002887,,,4911,Electric Services
WI0002984,,,2021,Creamery Butter
WI0003018,,,2022,"Cheese, Natural And Processed"
